Activated B cell,"ADAM28,CD180,CD79B,BLK,CD19,MS4A1,TNFRSF17,IGHM,GNG7,MICAL3,SPIB,HLA-DOB,IGKC,PNOC,FCRL2,BACH2,CR2,TCL1A,AKNA,ARHGAP25,CCL21,CD27,CD38,CLEC17A,CLEC9A,CLECL1"
Activated CD4+ T cells,"AIM2,BIRC3,BRIP1,CCL20,CCL4,CCL5,CCNB1,CCR7,DUSP2,ESCO2,ETS1,EXO1,EXOC6,IARS,ITK,KIF11,KNTC1,NUF2,PRC1,PSAT1,RGS1,RTKN2,SAMSN1,SELL,TRAT1"
Activated CD8+ T cells,"ADRM1,AHSA1,C1GALT1C1,CCT6B,CD37,CD3D,CD3E,CD3G,CD69,CD8A,CETN3,CSE1L,GEMIN6,GNLY,GPT2,GZMA,GZMH,GZMK,IL2RB,LCK,MPZL1,NKG7,PIK3IP1,PTRH2,TIMM13,ZAP70"
aDCs,"CCL1,EBI3,INDO,LAMP3,OAS3,ABCD1,C1QC,CAPG,CCL3L3,CD207,CD302,ATP5B,ATP5L,ATP6V1A,BCL2L1,C1QB,SNURF,SPCS3,CCNA1,CEACAM8,NOS2,SRA1,TNFRSF6B,TREM1,TREML1,RHOA,SLC25A37,TNFSF14,TREML4,VNN2,XPO6,CLEC4C,TNFAIP2,UBD,ACTR3,RAB1A,SLA,HLA-DQA2,SIGLEC5,SLAMF9,CD83,C1QA,CD80,IL12B,CCL13,CCL17,CCL19,CCL22,FPR3,HLA-DQA1,IL3RA,CXCL9,PTGIR,CCL8,CCL23,SLAMF1,SIGLEC1,TRAF1,TNFRSF4,TXN,SOCS3,HS3ST3B1,CD209,LILRA5,ACHE,ADPRH,ALOX15B,ANXA5,XIAP,ARF3,RHOG,ATP1B3,BLVRA,C3AR1,CASP5,CD86,CCR5,CMKLR1,EIF5,ENO1,ETV3,FCER1G,FCER2,GMFB,GNG5,GRB2,RAPGEF1,HCK,HRH2,DNAJA1,IL2RA,IL9,IL10,IL10RA,IMPDH1,IRF4,KCNMB1,LAIR1,LOR,RAB8A,MTF1,NFE2L2,NFKB1,NFKBIB,NRAS,OSM,P2RX7,PAK2,PGK1,PITPNA,MAP2K1,RAB5A,RELA,CLIP1,S100A10,CCL4,CCL7,CCL18,CCL24,SLC1A2,SLC6A12,SRC,STAT2,TCF21,DYNLT1,TPI1,VRK2,XPNPEP1,ZBTB17,CUL1,RRP1,SCARF1,ALDH1A2,TAX1BP1,SPAG9,TMSB10,MAP3K13,TRIP4,H6PD,WTAP,ARHGEF11,TMCC2,ABI1,BCL2L11,ARPC4,ARFRP1,RAMP3,LILRB2,BCKDK,CXCL13,EXOC5,MTHFD2,SEC24A,NEU3,LILRB1,CD300C,LILRB5,RAB35,OGFR,HPS5,TREX1,TFEC,RAB21,KDM6B,FAM175B,MGRN1,TDRD7,ABCA6,DNPEP,ACOT9,NUP62,BCL2L13,FBXL4,SIGLEC7,CYTH4,SIGLEC9,TOR1B,GPR132,IL19,ANKFY1,AZIN1,RIN2,TBC1D13,GPN2,C1orf27,ARL8B,ZNF654,TBC1D22B,MFN1,SCYL2,CHFR,KCNK13,C5orf15,RPGRIP1,CAMK1G,DENND1A,GPR107,HAMP,MIIP,NSUN3,MMP25,UBE2Z,TNIP2,OPA3,TMX1,SLCO5A1,NETO2,MED25,SLC25A28,ADPGK,MAGT1,DOT1L,TMEM41B,ELL,N4BP1,ABTB2,TRPC4AP,SNX11,CHMP5,NECAP2"
Adipocytes,"ADH1B,DLAT,GPD1,LBP,PLIN1,PPP1R1A,PPP2R1B,PTGER3,CILP,ADIPOQ,COL5A3,PNPLA2,ATP5G3,HADHA,DBI,ATP1A2,HP,TF,C6,SLC25A6,ECHDC1"
Angiogenesis,"CDH5,ELTD1,CLEC14A,LDB2,ECSCR,MYCT1,RHOJ,VWF,TIE1,KDR,ESAM,PTPRB,GPR116,SPARCL1,EMCN,ROBO4,ENG,TEK,S1PR1,A2M,JAM2,COL15A1,PECAM1,CALCRL,CLEC3B,PLVAP,RGS5,LRRC32,EBF1,ADCY4,ACVRL1,GPR124,APLNR,TM4SF18,GNG11,CNRIP1,ZNF423,GIMAP8,PDGFD,ITGA9,EDNRB"
Astrocytes,"CNN1,COL11A1,DNA2,FABP7,GPC4,CENPI,FZD2,GLI2,GNG3,GPX7,TNC,LOXL1,LRP4,NNAT,POU3F3,PTN,PTX3,RBP1,SDC2,TFAP2C,TRO,XRCC2,ADAM12,DPF3,ST8SIA2,ZNF239,DCHS1,KIF20B,REC8,PNMA2,CAND2,FBXL7,SYT11,DAPK2,ANKRD1,NT5DC3,PNMAL1,ASAP3,DOK5,GABRQ,AGPAT4,NCAPG,FSD1,KIF18A,MXD3,PSRC1,OLFML2A,CBR3,CLCN2,GRM7,HIST1H1D,KIFC1,MCM3,SCN5A,STAC,RECQL4,TRIOBP,RIBC2,FAM64A,NT5DC2,TMEM135,ACSS3,ATF7IP2,TRIM45,GINS4,CBX2,H2AFV,ACTA2,ACTG2,APLP1,BGN,BST1,C1S,SERPINH1,CDH6,CDH11,CHN1,CLU,COL1A1,COL1A2,COL3A1,COL5A1,COL5A2,COL6A1,COL6A2,COL6A3,COL8A2,COL13A1,CRABP2,VCAN,DCN,DIO2,DPYSL3,DUSP2,FAP,FBLN2,FBN1,FGFR1,FGG,FLNC,FN1,GATA6,GBP2,GEM,GNG11,CFH,HOXB2,CFI,IGFBP2,IGFBP3,IGFBP5,IGFBP6,ITGA7,AFF3,LAMA4,LIF,LOX,LUM,MAP1A,MATN2,MDK,MEST,MFAP4,MGP,MMP2,MN1,MYLK,NAP1L3,CLDN11,OXTR,PALM,PAX6,PCOLCE,PDGFRA,PDGFRB,SERPINF1,PLN,PPP1R3C,PTGIS,PTPRN,RARB,RARRES1,RARRES2,RGS4,CCL2,CXCL12,SFRP4,SLC14A1,SPARC,TAGLN,NR2F1,TFPI,TGM2,THY1,TIMP1,TIMP2,TNS1,TPM1,TPM2,TNFSF4,UCHL1,VCAM1,WNT5A,MFAP5,FZD7,RGS5,PDE5A,ADAM19,CACNA1H,DIRAS3,CRLF1,DHRS3,ADAMTS2,SEMA3E,HEPH,MRC2,GFPT2,HS3ST3A1,EDIL3,LRRC17,BTN3A3,MYL9,SPON2,POSTN,NES,GLIPR1,PADI2,FILIP1L,SYNPO,NID2,NFASC,SULF1,MXRA5,MOXD1,PCOLCE2,GREM1,SRPX2,EFEMP2,CPA4,COPZ2,SLC22A17,DACT1,TRPV2,SCARA3,MXRA8,SYTL2,MEG3,OLFML3,RCN3,FKBP10,CLSTN2,XYLT1,C9orf16,GLT8D2,SLC12A8,CREB3L1,CHRDL1,LYPD1,ZCCHC24"
B cells,"ABCB4,BACH2,BCL11A,BLK,BLNK,CCR9,CD19,CD72,COCH,CR2,DTNB,FCRL2,GLDC,GNG7,HLA-DOB,HLA-DQA1,IGHA1,IGHG1,IGHM,IGKC,IGL,KIAA0125,MEF2C,MICAL3,MS4A1,OSBPL10,PNOC,QRSL1,SCN3A,SLC15A2,SPIB,TCL1A,TNFRSF17,BANK1,CD79A,CD55,CD79B,CXCR5,FAIM3, CD79A, CD79B, FCER2, FCRL2, FCRL5, MS4A1, PAX5, POU2AF1, STAP1, TCL1A,BTLA,FCRL1,FCRL3,HVCN1,RALGPS2,AFTPH,AHSP,ANXA3,CNOT1,HLA-DPB1,LSM6,MEFV,NMUR1,PADI4,PYGM,STRN4,TRAF3,TCL6,WNT16,CD37,HRH4,CA1,COL19A1,GNG3,PLIN1,SGCA,CD22,PAX5,IGLL3P,CLEC17A,VPREB3,STAP1,FAM129C,TLR10,AFF3,POU2AF1,PLCG2,CCR6,P2RX5,KIAA0226L,POU2F2,IRF8,FCRLA,SNX2,MBD4,STAG3,PWP1,SP140,GGA2,SMC6,BTK,CSNK1G3,PHKB,DEPDC5,CD180,POU2F1,PRKCB,UBE2G1,PRDM2,SLC24A1,BCL2L11,PRDM4,RRAS2,SIPA1L3,P2RY10,CDC40,MIOS,DEF8,ARHGAP17,MFN1,WDR11,C12orf49,PIKFYVE,JMJD1C,MCM9,EGOT,HLA-DOA,TNFRSF13B,ACTN2,CD53,CNR1,CNR2,DAXX,DNASE1,AFF2,GDI2,GPR18,HTR3A,IFNW1,IL17A,INPP5B,KCNN3,MGAT5,PGR,SYPL1,TERT,SEC62,SLC30A4,RNGTT,S1PR2,RECQL5,LY86,MYOT,TCL1B,IKZF3,KIAA1033,ITSN2,HDAC7,ATF7IP,UTP6,AICDA,DCLRE1C,BMP8B,CHAD,CR1,GPR25,HSPA4,LY9,CIITA,MAP3K9,MMP17,RPS11,RPS16,TROVE2,ZNF37A,ZNF154,ZNF202,ZNF208,AP3B1,S1PR4,BAIAP3,KIAA0430,CEPT1,NUP160,ZZZ3,PLA2G2D,ZNF638,KCNIP2,ANKMY1,TLR7,POLR3K,GPRC5D,NSUN5,ZNF701,C5orf15,RIC3,MRM1,CEACAM21,ZNF688,IFNA2,SLC13A2"
Basophils,"ALAS2,ARR3,ART3,C8A,CD72,DEFA5,EFNA2,GPR3,ONECUT1,HP,CXCR2,KCNA5,KCNJ13,LECT2,LEP,SMCP,MPO,MYH1,NPY5R,OMG,PRKACG,PRL,TGM3,TCL1A,AKAP4,C6orf10,FRS3,LAMB4,CLCA4,AHCTF1,BMP10,AMOTL2,ARHGAP17,TEX12,C11orf16,OTUD7B,SLC17A6,CASS4,LRTM1,HPSE2,FBRS,CXorf36,SLCO5A1,ATXN3L,GATC,ACTN2,ADCY2,ADH1A,ADPRH,ADRA1A,AGTR2,ALDOB,APOF,ART1,BRDT,C9,CETP,CEACAM7,COL19A1,CPA1,CRHR2,CTRL,CYP2A7,CYP17A1,CYP19A1,CYP21A2,DAZL,DCT,DSP,EPHA3,F9,F13B,FCN2,GABRA1,GABRG3,GNG3,GRB2,GRIK4,GRIN2A,GRM4,GRM7,GUCA1B,HTN3,HTR1D,HTR1E,HTR6,IBSP,IFNAR1,IFNW1,IL12RB1,INHA,IRF4,KCNA4,KCNC3,KCND3,KCNJ1,KRT19,KRT33B,KRT83,KRT84,LPO,MAGEB4,MCF2,TRPM1,MOBP,MUC7,MYF6,MYOC,MYOD1,NKX6-1,NTRK1,NTRK2,PAX7,PDHA2,PLP1,PMP2,POU1F1,PPEF2,MAPK12,SCN7A,CCL21,SEMG2,SI,SLC5A4,SLC5A5,SLC6A1,SLC6A11,SLC10A2,SLC13A1,SSX5,TAC1,TLL2,CLEC3B,TNNT2,TNNT3,TNP2,USH2A,VPREB1,ZNF16,ZNF214,SLC30A4,FGF23,HIST1H2BL,UNC5C,ABCB11,ADAM7,ALDH1A2,PHOX2B,WASL,HTR3B,FHL5,NR1I3,NR2E3,SSX3,CACNG3,TACC3,RPP38,SMR3B,ZPBP,KERA,INSL6,CYP4F8,RBPJL,FSTL4,CRB1,SPO11,AIPL1,SLC24A2,CLEC4E,FBXO22,INVS,RBMXL2,ADAMDEC1,PNMA3,PDZRN4,CALY,TAS2R14,PDE11A,MRPS7,MYO15A,TFDP3,SPTBN5,MS4A4A,SLCO1C1,GPR85,DDX4,MAGEL2,DNAJC28,ACSM5,PDPR,HJURP,DNAH3,IL26,MEPE,CD177,MYOZ1,NEUROD6,ELSPBP1,NPVF,MRPS15,TRIM48,ADM2,TRPM3,ZKSCAN3,SPACA1,CCDC70,BRIP1,MYLK3,ZXDB,KRT24,KHDRBS2,SCGB2A2,PCDHA2,TMEM212,CLK1,DEFA4,GPR183,ERN1,FCN1,FGR,GRK6,GTF3C1,GZMH,GZMB,HRH2,KLRD1,LAIR2,MMP8,NKG7,PF4V1,PI4KB,PLCB2,RFX2,RGS1,RNASE2,S100A12,XCL1,VIM,VAPA,CD101,GSTO1,BCL2L11,NMUR1,GNLY,LILRA1,LILRA2,JMJD6,PADI4,TBK1,WRAP53,RETN,CYSLTR2,DENND1A,NAA16,TUBB1,POLDIP3,CEACAM8,NCR1,NXT1,DERL2"
CD4+ memory T cells,"AAMP,ACTL6A,ADSL,AKT2,ANXA7,ARL2,ATF1,BTF3,CCNC,CD2,CD5,CD6,CD28,CDK9,CETN3,CCR4,COX7C,CSNK1A1,CSNK2A2,CTBP1,CTLA4,DAD1,DDX3X,DR1,GPR183,EIF4G2,ERH,ESD,FNTA,GABPA,GLUD1,HDAC1,HINT1,HMOX2,HNRNPH3,HNRNPU,DNAJB1,EIF3E,ITK,JAK3,KIF22,KTN1,LDHB,SH2D1A,SMAD2,MAGOH,NCL,NDUFS5,PFN1,PLP2,POLD2,PPID,PPP1CB,PPP1CC,PPP2R5D,PPP6C,PTPN11,RAD21,RANBP1,RBM3,RGS1,RPL4,RPL5,RPL8,RPL13,RPS3,RPS6,RPS19,SLAMF1,SOD1,SP3,SRP9,SURF2,THOP1,TPP2,TPT1,TSN,TSSC1,UBE2D2,UBE2D3,UBE2N,UQCRC2,CNBP,DAP3,FXR1,UXT,PKP4,API5,PRPF18,DENR,STK16,RUVBL1,SSNA1,PABPC4,SUCLG1,GALR2,DPM1,NAE1,EIF2B5,FUBP3,BUB3,WDR46,ATG5,PSMF1,BAG3,PREPL,TTC37,SAFB2,CEP57,MATR3,RANBP9,ARPC4,BCAS2,DNAJA2,MAEA,PPIH,PFDN6,HMGN4,EIF3M,ANP32B,TBL3,USP39,PTGES3,CLPX,PAPOLA,SUB1,DBF4,C11orf58,HNRNPA0,COPS5,CPSF6,NUPL2,PDCD10,CBX3,U2AF2,RRP1B,MRPS27,SMC5,METAP1,RPL13A,CD2AP,EID1,ATXN10,RPL36,AHCTF1,ZZZ3,PPA2,SERP1,MMADHC,PRPF19,MRPS18B,METTL5,ICOS,TRA2A,UBIAD1,GPR132,UBQLN2,GLOD4,FCF1,COPS4,RSL24D1,CDC40,EIF3L,RWDD1,TRMT112,CMPK1,ETAA1,GATAD2A,MRPL20,SMU1,IMP3,LIN7C,CDV3,CDKN2AIP,AMBRA1,OSGEP,INTS8,KBTBD4,EXOC2,PCID2,ZC3H15,UNC45A,NKRF,PCNP,THAP11,ZDHHC6,MRPL11,ACD,MRPL44,MRPS34,DDX50,SPAG16,CBLL1,RPF1,THOC7,GRPEL1,ISCA1,DOHH,C12orf29,ATPIF1,SLC25A6,EEF2,KARS,RNF6,THRAP3,FARS2,RBM34,TINF2,SLC25A38,CD3G,CD40LG,GPR15,LIMS1,RBL2,DLEC1,CXCR6,TRAT1,ARHGAP15,GZMA,GZMK,HMGB2,PDCD1,CD226,GPR171,UBASH3A,MEN1,PTPN4,ZNF236,CD96,SEC23IP,AURKAIP1,RNF34"
