gene	weight
7A5	1.2445666395596e-06
A1BG	2.58096913756523e-05
A1CF	3.28790314378338e-05
A26C3	1.2445666395596e-06
A2BP1	1.2445666395596e-06
A2LD1	1.2445666395596e-06
A3GALT2	2.01456177519717e-05
A4GNT	2.12644429973918e-05
AAA1	1.2445666395596e-06
AAAS	9.2813728229776e-05
AACS	4.85153032350061e-05
AACSL	1.2445666395596e-06
AADAC	2.03831535478104e-05
AADACL1	1.2445666395596e-06
AADACL2	1.2445666395596e-06
AADACL3	1.2445666395596e-06
AADAT	5.44787617700339e-05
AAGAB	3.01514764988742e-05
AAK1	6.15789704286613e-05
AAMP	3.77637725761113e-05
AARS	1.2445666395596e-06
AARS2	7.17806985123334e-05
AARSD1	1.2445666395596e-06
AASDH	0.000143408283915997
AASDHPPT	4.36359613141114e-05
AASS	3.59127325350615e-05
AATF	0.000150870664684225
AATK	1.63165748003104e-05
ABAT	9.34122446315719e-05
ABCA1	0.000118954694591713
ABCA10	1.2445666395596e-06
ABCA11	1.2445666395596e-06
ABCA13	1.2445666395596e-06
ABCA2	5.46697057694351e-05
ABCA3	2.39060747413435e-05
ABCA4	9.18502166965793e-05
ABCA5	1.2445666395596e-06
ABCA6	3.32241984801723e-05
ABCA7	6.23367732251174e-05
ABCA8	1.8745055067238e-05
ABCA9	2.10775711690394e-05
ABCB1	5.65223981203742e-05
ABCB10	4.29041741202669e-05
ABCB11	5.42447602175424e-05
ABCB4	3.3433917753577e-05
ABCB6	5.67828721982195e-05
ABCB7	7.50867102686896e-05
ABCB8	7.65771789959801e-05
ABCB9	2.19291722464109e-05
ABCC1	1.92168952807119e-05
ABCC10	1.2445666395596e-06
ABCC11	1.2445666395596e-06
ABCC13	1.2445666395596e-06
ABCC3	3.39146050906834e-05
ABCC4	8.51803425099599e-05
ABCC5	1.26197877110734e-05
ABCC6	4.08068133614931e-05
ABCC6P1	1.2445666395596e-06
ABCC6P2	1.2445666395596e-06
ABCC9	3.70029384332439e-05
ABCD1	8.33559431345936e-05
ABCD2	3.68170859188122e-05
ABCD3	9.30376933862537e-05
ABCD4	7.35908641710894e-05
ABCE1	0.000159232522677532
ABCF1	5.77605350857214e-05
ABCF2	3.40717896994269e-05
ABCF3	2.86323788040524e-05
ABCG1	6.03898058050654e-05
ABCG4	1.37158048476437e-05
ABCG5	8.74260669865917e-05
ABCG8	7.30808616889345e-05
ABHD1	1.48499337737841e-05
ABHD10	1.2445666395596e-06
ABHD11	1.2445666395596e-06
ABHD12	3.94966743641541e-05
ABHD12B	1.2445666395596e-06
ABHD13	1.2445666395596e-06
ABHD14A	1.2445666395596e-06
ABHD14B	1.2445666395596e-06
ABHD15	1.37047978941661e-05
ABHD2	1.7790907699013e-05
ABHD3	1.2445666395596e-06
ABHD4	4.01700311591742e-05
ABHD5	7.39276585425416e-05
ABHD6	4.35395197319996e-05
ABHD7	1.2445666395596e-06
ABHD8	2.87239507016097e-05
ABHD9	1.2445666395596e-06
ABI1	0.000131988696145302
ABI2	0.000110456203284115
ABI3	7.2016756075241e-05
ABI3BP	1.65074879162901e-05
ABL1	0.000333623002043332
ABL2	3.97743194171268e-05
ABLIM1	2.5085919628815e-05
ABLIM2	1.2445666395596e-06
ABLIM3	2.50008351160236e-05
ABO	2.76989847203591e-05
ABP1	1.2445666395596e-06
ABR	1.38338561991437e-05
ABT1	4.69699441958664e-05
ABTB1	1.76804484401163e-05
ABTB2	1.2445666395596e-06
ACAA1	0.000193439050887805
ACAA2	0.000156245134478498
ACACA	0.000146649248520376
ACACB	0.000115847093139341
ACAD10	2.08094108690603e-05
ACAD11	2.78720393837052e-05
ACAD8	4.20497166343766e-05
ACAD9	8.74647942166809e-05
ACADL	8.36280275976062e-05
ACADM	0.000103447979169254
ACADS	0.000159832450643512
ACADSB	7.94778750183704e-05
ACADVL	8.04051526657651e-05
ACAP1	2.4653044898012e-05
ACAP2	2.582364359389e-05
ACAT1	0.000136599697450009
ACAT2	0.000143285734240403
ACBD3	6.56763406974701e-05
ACBD4	2.07582537974488e-05
ACBD5	5.09164609440526e-05
ACBD6	2.76967052235265e-05
ACBD7	1.2445666395596e-06
ACCN1	1.2445666395596e-06
ACCN3	1.2445666395596e-06
ACCN4	1.2445666395596e-06
ACCN5	1.2445666395596e-06
ACCS	2.05757012972135e-05
ACCSL	2.02011440145475e-05
ACD	3.94042464422227e-05
ACE	0.000151386845100648
ACE2	0.000186836036917731
ACER1	9.08158943645527e-05
ACER2	9.01786903272618e-05
ACER3	4.6127340121359e-05
ACHE	9.10531648138171e-05
ACIN1	5.99390337931648e-05
ACLY	0.000170543572248855
ACMSD	4.21633963739403e-05
ACN9	1.2445666395596e-06
ACO1	0.000139999968661697
ACO2	0.0002062012734935
ACOT1	5.52424547587012e-05
ACOT11	1.69403528939115e-05
ACOT12	6.39577999144549e-05
ACOT2	6.47978098139033e-05
ACOT4	5.29099459081242e-05
ACOT6	1.2445666395596e-06
ACOT7	3.7328962434998e-05
ACOT8	5.51007961780228e-05
ACOT9	1.77677270453993e-05
ACOX1	0.000240913604052668
ACOX2	5.71294134428556e-05
ACOX3	0.000147563831672275
ACP1	5.58240905868202e-05
ACP2	1.2445666395596e-06
ACP5	6.47099394824157e-05
ACP6	5.05423760806377e-05
ACPL2	1.2445666395596e-06
ACPP	5.83531314539953e-05
ACPT	1.2445666395596e-06
ACR	5.64077909272501e-05
ACRBP	2.07177395171962e-05
ACRC	1.2445666395596e-06
ACRV1	3.6188517747442e-05
ACSBG1	6.09296654834787e-05
ACSF2	4.0609797965738e-05
ACSF3	4.82950926034889e-05
ACSL1	0.000143857474797958
ACSL3	7.47829724801003e-05
ACSL4	8.85676552703246e-05
ACSL5	6.70235193767226e-05
ACSL6	6.28906990273715e-05
ACSM2A	2.52157623607878e-05
ACSM2B	2.52606381792247e-05
ACSM3	1.91668526627098e-05
ACSM4	1.7105743583011e-05
ACSM5	1.71148517939583e-05
ACSS1	0.00012802510221784
ACSS2	0.000127727492362027
ACSS3	6.75056327599102e-05
ACTA2	9.80466472799048e-05
ACTB	0.000862528888382476
ACTC1	0.000113394135241371
ACTG1	0.000415966021893108
ACTL6A	0.000208959159917471
ACTL6B	0.000131652997658087
ACTL7B	2.21675389264435e-05
ACTL8	1.65576650575456e-05
ACTN1	0.000178138135693485
ACTN2	0.000167804591812443
ACTN3	5.94965467804245e-05
ACTN4	0.000171052893720561
ACTR10	9.68624486650993e-05
ACTR1A	8.75159587197977e-05
ACTR1B	5.73053015208519e-05
ACTR2	0.000164724541815731
ACTR3	0.000124466614274347
ACTR3B	8.55785162848417e-05
ACTR5	6.45035551235409e-05
ACTR6	4.06740066007709e-05
ACTR8	6.57866421216446e-05
ACTRT1	1.2445666395596e-06
ACVR1	0.000140553001234798
ACVR1B	9.3615985231576e-05
ACVR1C	7.71427095004265e-05
ACVR2A	0.000174567451165518
ACVR2B	0.000164782530179016
ACVRL1	7.02100252821858e-05
ACY1	4.93034443321502e-05
ACY3	1.82007997877713e-05
ACYP1	3.53373281867303e-05
ACYP2	4.73897038862529e-05
ADA	9.81600904747114e-05
ADAD1	3.54418503324144e-05
ADAL	1.63020505009835e-05
ADAM10	0.000177454937378898
ADAM11	1.59429208337507e-05
ADAM12	2.84658755532486e-05
ADAM15	2.83926495554883e-05
ADAM17	8.91260409733784e-05
ADAM19	1.60895394270679e-05
ADAM2	3.64997574583514e-05
ADAM21P	1.2445666395596e-06
ADAM22	7.48754067269673e-05
ADAM23	4.92088863881055e-05
ADAM28	2.12617264918481e-05
ADAM29	1.2445666395596e-06
ADAM30	2.41622772118351e-05
ADAM32	1.2445666395596e-06
ADAM33	2.45461681524925e-05
ADAM3A	1.2445666395596e-06
ADAM5	1.2445666395596e-06
ADAM6	1.2445666395596e-06
ADAM8	2.54055845136524e-05
ADAMDEC1	1.2445666395596e-06
ADAMTS1	1.50988347284246e-05
ADAMTS12	2.83733012897598e-05
ADAMTS13	4.79893437136258e-05
ADAMTS14	1.67959318941592e-05
ADAMTS15	1.2445666395596e-06
ADAMTS17	1.99333435594579e-05
ADAMTS18	1.2445666395596e-06
ADAMTS19	1.2445666395596e-06
ADAMTS2	4.21360609498914e-05
ADAMTS20	1.2445666395596e-06
ADAMTS3	3.81762050421598e-05
ADAMTS4	5.0090667058813e-05
ADAMTS5	3.50566752223795e-05
ADAMTS6	1.48157388167475e-05
ADAMTS7	2.44832264490235e-05
ADAMTS8	1.40917528461981e-05
ADAMTSL1	1.84110942984931e-05
ADAMTSL2	2.64233643838865e-05
ADAMTSL3	3.64385361641564e-05
ADAMTSL4	1.5370536634548e-05
ADAMTSL5	1.91179924176888e-05
ADAP1	2.84350478562394e-05
ADAP2	3.33569610825636e-05
ADAR	7.31559922791607e-05
ADARB1	4.21517462809344e-05
ADARB2	2.07637045516404e-05
ADAT1	1.95363058872208e-05
ADAT2	3.89632735721078e-05
ADAT3	4.48458772755807e-05
ADC	1.2445666395596e-06
ADCK1	1.80658410277182e-05
ADCK2	1.81126775115913e-05
ADCK4	1.2445666395596e-06
ADCK5	1.79409437373902e-05
ADCY1	0.000155719946858929
ADCY10	8.4606419601693e-05
ADCY2	0.000141353197826097
ADCY3	0.00023693966282248
ADCY4	0.000151878148687975
ADCY5	0.000225390966107144
ADCY6	0.000153755261440853
ADCY7	0.000165765614235597
ADCY8	0.000194180222255102
ADCY9	0.000182070159921108
ADCYAP1R1	3.50250072980606e-05
ADD1	0.000109282977830299
ADD2	9.63346733740292e-05
ADD3	8.11705430297373e-05
ADH1A	0.000117362558732171
ADH1B	0.000120909953398213
ADH1C	0.000121083758859445
ADH4	0.000107418803206741
ADH5	0.000100425201376845
ADH6	0.000126641791596795
ADH7	0.000122408319934721
ADHFE1	5.58824869546031e-05
ADI1	3.33986143789008e-05
ADIPOQ	0.00015618152930624
ADIPOR1	4.86373194906685e-05
ADIPOR2	3.65814409071798e-05
ADK	0.000138181566056237
ADM	7.95158119478961e-05
ADM2	4.73353490091873e-05
ADNP	3.42691674252782e-05
ADNP2	1.62051107297023e-05
ADO	2.64810064835006e-05
ADORA1	5.52214171251081e-05
ADORA2A	0.000112232910273354
ADORA2B	3.87244250136005e-05
ADORA3	2.30876775058344e-05
ADPGK	7.13549149232644e-05
ADPRH	1.2445666395596e-06
ADPRHL1	7.70371317954638e-05
ADPRHL2	2.57440597814697e-05
ADRA1A	4.31932247748993e-05
ADRA1B	4.61933661304399e-05
ADRA1D	6.65989286959346e-05
ADRA2A	5.57276631577416e-05
ADRA2B	2.49124973913865e-05
ADRA2C	3.35180319955522e-05
ADRB1	8.57410814478078e-05
ADRB2	0.000168578458610832
ADRB3	6.41392691234585e-05
ADRBK1	1.2445666395596e-06
ADRBK2	1.2445666395596e-06
ADRM1	0.000157332862230439
ADSL	0.000206106204068873
ADSS	1.2445666395596e-06
ADSSL1	1.2445666395596e-06
AEBP1	1.2445666395596e-06
AEBP2	8.96549319695169e-05
AEN	1.45551734020219e-05
AES	1.2445666395596e-06
AFAP1	1.39201571595864e-05
AFAP1L1	1.49524797285614e-05
AFAP1L2	1.2445666395596e-06
AFAR3	1.2445666395596e-06
AFARP1	1.2445666395596e-06
AFF1	0.000105630302132426
AFF2	7.70371317954637e-05
AFF3	2.9584914705482e-05
AFF4	8.39300782354313e-05
AFG3L1	1.2445666395596e-06
AFG3L2	6.22167328249075e-05
AFMID	6.29276265818561e-05
AFP	0.000103293387740596
AFTPH	8.01915257799572e-05
AGA	3.22650096793666e-05
AGAP1	2.03064806990378e-05
AGAP11	1.2445666395596e-06
AGAP2	2.27559591726174e-05
AGAP3	2.16164240211889e-05
AGAP6	1.2445666395596e-06
AGAP7	1.2445666395596e-06
AGAP8	1.2445666395596e-06
AGBL1	2.76929881940949e-05
AGBL2	1.5137876013234e-05
AGBL3	1.68628832067444e-05
AGBL5	7.70371317954638e-05
AGC1	1.2445666395596e-06
AGER	0.000122017502534127
AGFG1	5.09034829544262e-05
AGFG2	1.61691186970851e-05
AGGF1	1.3801094580511e-05
AGK	8.48474792300175e-05
AGL	9.82686681807872e-05
AGMAT	5.97997552134641e-05
AGPAT1	9.53659706605939e-05
AGPAT2	0.00011889017778277
AGPAT3	8.39248952428442e-05
AGPAT4	9.0385013207365e-05
AGPAT5	7.48339116270786e-05
AGPAT6	1.2445666395596e-06
AGPAT9	1.2445666395596e-06
AGPS	7.67522016156144e-05
AGR2	4.39327163565137e-05
AGR3	2.10843069757576e-05
AGRN	0.000130644393832548
AGRP	8.87101274182972e-05
AGT	0.000293511551460889
AGTPBP1	3.16443515023569e-05
AGTR1	0.000129715209714972
AGTR2	4.10656649499621e-05
AGTRAP	3.20397189534323e-05
AGXT	0.000154817675842882
AGXT2L1	1.2445666395596e-06
AGXT2L2	1.2445666395596e-06
AHCTF1	8.20124901772439e-05
AHCY	9.57030443377388e-05
AHCYL1	6.97276476001089e-05
AHCYL2	5.40988403450313e-05
AHI1	9.75453662638762e-05
AHNAK	8.12892088676265e-05
AHNAK2	2.19354558432104e-05
AHR	5.03847936876397e-05
AHSA1	8.45761827688201e-05
AHSA2	1.2445666395596e-06
AHSP	8.27073851019331e-05
AICDA	6.48014996952067e-05
AIDA	1.2445666395596e-06
AIF1	9.6155541586715e-05
AIF1L	1.2445666395596e-06
AIFM1	3.1657788910063e-05
AIFM2	1.93464865532848e-05
AIFM3	1.37954482092645e-05
AIG1	1.2445666395596e-06
AIM1	1.2445666395596e-06
AIM1L	1.2445666395596e-06
AIM2	9.56754700861912e-05
AIMP2	3.45109171177306e-05
AIP	5.41031385925285e-05
AIPL1	0.000102512533909839
AIRE	5.46792802982646e-05
AJAP1	1.92948015086519e-05
AK1	9.49444392828198e-05
AK2	0.000100073339148483
AK2P2	1.2445666395596e-06
AK3	0.000125091447076231
AK3L1	1.2445666395596e-06
AK5	7.0963621805437e-05
AK7	6.78553497338734e-05
AKAP1	0.000106328967130077
AKAP10	4.62552434964466e-05
AKAP11	4.80199929220234e-05
AKAP12	6.10619800224e-05
AKAP13	6.10789861777383e-05
AKAP14	5.99344294773611e-05
AKAP2	1.2445666395596e-06
AKAP3	6.23242441343565e-05
AKAP4	8.54186538198159e-05
AKAP5	9.87050491776895e-05
AKAP7	5.9836017920578e-05
AKAP8	3.18286765999759e-05
AKAP8L	2.03317833605711e-05
AKAP9	0.000123888315132634
AKIRIN1	1.40416594637404e-05
AKIRIN2	5.20816240553594e-05
AKNA	1.2445666395596e-06
AKNAD1	0.000127005245757851
AKR1A1	7.17226954143421e-05
AKR1B1	0.000145372890176638
AKR1C2	7.56884326493711e-05
AKR1C3	0.000149616713806348
AKR1C4	8.70539740670025e-05
AKR1CL1	1.2445666395596e-06
AKR1D1	0.000119741622547446
AKR1E2	1.2445666395596e-06
AKR7A2	2.90494224429464e-05
AKR7A3	2.82544129128581e-05
AKR7L	1.2445666395596e-06
AKT1	0.00094726446651352
AKT1S1	0.000108235227842207
AKT2	0.000273297538265353
AKT3	0.000233069294173992
AKTIP	5.61165517629697e-05
ALAD	5.37604765282026e-05
ALAS1	7.60452511344331e-05
ALAS2	0.000128674420452176
ALB	0.000512153157488713
ALCAM	5.85912556487663e-05
ALDH16A1	5.04923832226961e-05
ALDH18A1	0.000228545799010676
ALDH1A1	0.000139779470958525
ALDH1A2	0.000100454763564606
ALDH1A3	0.000103555252054237
ALDH1B1	0.000143428640946065
ALDH1L1	5.50215907487227e-05
ALDH1L2	5.27499511897923e-05
ALDH2	0.000166370279282796
ALDH3A1	0.000112447907702099
ALDH3A2	0.000157747311126405
ALDH3B1	9.81916267300455e-05
ALDH3B2	8.73750641279157e-05
ALDH4A1	0.000127060325344396
ALDH5A1	5.99447219829774e-05
ALDH6A1	9.36464282248407e-05
ALDH7A1	0.000237997830506584
ALDH8A1	2.57141536926572e-05
ALDH9A1	0.000146762743213623
ALDOA	0.000149139191337283
ALDOB	0.000132093414522694
ALDOC	0.000125129485223764
ALG1	0.000104584095882845
ALG10	3.88869663226535e-05
ALG10B	4.88465051306712e-05
ALG11	6.80523950040553e-05
ALG12	9.69067348660102e-05
ALG13	4.49086633475403e-05
ALG14	5.30544375217168e-05
ALG1L	1.2445666395596e-06
ALG2	5.20068803628082e-05
ALG3	8.97378770188094e-05
ALG5	7.61098399328944e-05
ALG6	7.44316719595519e-05
ALG8	6.51682789422748e-05
ALG9	3.25730715034075e-05
ALK	0.000158894609535377
ALKBH1	8.63190658968577e-05
ALKBH2	4.1694341609294e-05
ALKBH3	3.50698026795674e-05
ALKBH4	3.95723336975684e-05
ALKBH5	7.68738573010296e-05
ALKBH6	3.8125131177234e-05
ALKBH7	3.96914778913869e-05
ALKBH8	4.54076096263054e-05
ALLC	1.33510108247485e-05
ALMS1	3.55075590909265e-05
ALMS1P	1.2445666395596e-06
ALOX12	7.93372933322297e-05
ALOX12P2	1.2445666395596e-06
ALOX15	0.00010765799105391
ALOX15B	8.21096098193065e-05
ALOX5	0.000123493502560062
ALOX5AP	4.23361195583398e-05
ALOXE3	4.40560883410262e-05
ALPI	2.72932325180011e-05
ALPK1	1.78888342691862e-05
ALPK3	1.37219541206234e-05
ALPL	0.000103403275503683
ALPP	3.3986194689621e-05
ALPPL2	1.2445666395596e-06
ALS2	7.27028201348973e-05
ALS2CL	1.49220022418889e-05
ALS2CR12	1.2445666395596e-06
ALS2CR14	1.2445666395596e-06
ALS2CR16	1.2445666395596e-06
ALS2CR4	1.2445666395596e-06
ALX1	1.2445666395596e-06
ALX3	3.45512981818067e-05
AMAC1L1	1.2445666395596e-06
AMAC1L2	1.2445666395596e-06
AMAC1L3	1.2445666395596e-06
AMACR	8.5905533027451e-05
AMBN	7.25772645611487e-05
AMBRA1	0.000128115413066543
AMD1	1.2445666395596e-06
AMDHD1	3.96132550833959e-05
AMDHD2	4.4824273562772e-05
AMELX	0.000101326257081626
AMELY	5.63358460165925e-05
AMFR	0.000145037945778133
AMICA1	1.2445666395596e-06
AMIGO1	1.54360338171034e-05
AMIGO3	1.2445666395596e-06
AMMECR1	2.28074060939452e-05
AMMECR1L	1.2445666395596e-06
AMN	2.73403882512217e-05
AMN1	1.2445666395596e-06
AMOT	9.31094887282177e-05
AMOTL1	6.7988150886294e-05
AMOTL2	5.54456994140291e-05
AMPD2	0.000123032412387743
AMPD3	0.000123959312771756
AMPH	0.000138863473598133
AMT	0.000113915626061378
AMY1A	2.40396333478187e-05
AMY1B	9.6074707135894e-05
AMY1C	2.87891171469929e-05
AMY2A	7.19624381916959e-05
AMY2B	6.25922921660649e-05
AMZ2	1.2445666395596e-06
ANAPC1	0.000149248228626955
ANAPC10	0.000125806368662543
ANAPC11	0.000115617858836293
ANAPC13	9.84352726203313e-05
ANAPC2	0.000131709451500099
ANAPC4	0.000141335548638751
ANAPC5	0.00012981479711124
ANAPC7	0.000110201705957563
ANG	6.07204022105179e-05
ANGEL1	2.29201004434552e-05
ANGEL2	2.24049204626316e-05
ANGPT1	9.67492227980037e-05
ANGPT2	8.75331920766335e-05
ANGPTL1	1.92000240499399e-05
ANGPTL2	2.01864653913387e-05
ANGPTL3	4.25173191273716e-05
ANGPTL4	4.84479252338247e-05
ANGPTL5	1.41598001552335e-05
ANGPTL6	1.2445666395596e-06
ANK1	0.000236107684984844
ANK2	0.000225148608560956
ANK3	0.000213227012784131
ANKAR	2.37570905835189e-05
ANKDD1A	1.2445666395596e-06
ANKFY1	3.86671926512387e-05
ANKH	1.71534172754865e-05
ANKHD1	2.58403174865141e-05
ANKHD1-EIF4EBP3	1.2445666395596e-06
ANKIB1	1.5669020804383e-05
ANKLE1	3.96836389015721e-05
ANKLE2	6.91737011062031e-05
ANKMY1	1.2445666395596e-06
ANKMY2	1.38309627795424e-05
ANKRA2	5.57504685457133e-05
ANKRD1	2.33612735708322e-05
ANKRD10	1.2445666395596e-06
ANKRD11	1.35678420735273e-05
ANKRD12	1.2445666395596e-06
ANKRD13A	1.2445666395596e-06
ANKRD13B	1.2445666395596e-06
ANKRD13C	1.2445666395596e-06
ANKRD13D	1.29118986868079e-05
ANKRD16	1.2445666395596e-06
ANKRD17	2.56257225608111e-05
ANKRD18A	1.2445666395596e-06
ANKRD18B	1.2445666395596e-06
ANKRD2	2.57196288051628e-05
ANKRD20A1	1.2445666395596e-06
ANKRD20A2	1.2445666395596e-06
ANKRD20A3	1.2445666395596e-06
ANKRD20A4	1.2445666395596e-06
ANKRD20B	1.2445666395596e-06
ANKRD21	1.2445666395596e-06
ANKRD22	1.63433188740349e-05
ANKRD23	3.66541489143324e-05
ANKRD24	1.2445666395596e-06
ANKRD26	1.2445666395596e-06
ANKRD27	4.23282932538724e-05
ANKRD28	3.80153334239963e-05
ANKRD29	3.03221415451672e-05
ANKRD30A	1.2445666395596e-06
ANKRD30B	1.2445666395596e-06
ANKRD31	2.3924408347172e-05
ANKRD32	1.2445666395596e-06
ANKRD33	1.2445666395596e-06
ANKRD34A	1.2445666395596e-06
ANKRD34B	1.2445666395596e-06
ANKRD34C	1.2445666395596e-06
ANKRD35	1.2445666395596e-06
ANKRD36	7.70371317954638e-05
ANKRD36B	7.7037131795405e-05
ANKRD38	1.2445666395596e-06
ANKRD39	2.11621148607742e-05
ANKRD40	1.67545455240505e-05
ANKRD41	1.2445666395596e-06
ANKRD43	1.2445666395596e-06
ANKRD44	2.48080161144282e-05
ANKRD45	1.63646153021902e-05
ANKRD46	2.7901792517973e-05
ANKRD47	1.2445666395596e-06
ANKRD49	2.23210377088504e-05
ANKRD5	1.2445666395596e-06
ANKRD50	2.86326840114724e-05
ANKRD52	2.13034268711384e-05
ANKRD53	1.2445666395596e-06
ANKRD54	1.90854763169199e-05
ANKRD55	2.35063047391076e-05
ANKRD56	1.2445666395596e-06
ANKRD57	1.2445666395596e-06
ANKRD58	1.2445666395596e-06
ANKRD6	4.50330723618987e-05
ANKRD7	1.2445666395596e-06
ANKRD9	3.05508791822988e-05
ANKS1A	1.90215308984351e-05
ANKS1B	1.2445666395596e-06
ANKS3	4.64572539316216e-05
